stimulus_id,note
scene0515_00-recycling_bin-2-41-40,never_sent_panos
scene0159_00-shoes-5-25-1-26-27-28,never_sent_panos
scene0159_00-shoes-5-26-1-25-27-28,never_sent_panos
scene0394_00-clothing-4-52-48-50-51,never_sent_panos
scene0612_00-toilet_paper-6-30-7-24-27-31-32,never_sent_panos
scene0217_00-desk-4-4-5-35-36,never_sent_panos
scene0024_00-chair-6-10-9-11-61-63-64,never_sent_panos
scene0074_00-clothing-2-20-26,never_sent_panos
scene0471_00-toilet_paper-3-12-8-11,never_sent_panos
scene0515_00-recycling_bin-2-40-41,never_sent_panos
scene0024_00-chair-6-63-9-10-11-61-64,never_sent_panos
scene0020_00-book-4-16-32-33-34,never_sent_panos
scene0025_00-box-2-29-27,never_sent_panos
scene0077_00-shelf-2-4-7,never_sent_panos
scene0253_00-pillow-3-0-1-19,never_sent_panos
scene0100_00-towel-3-10-27-29,never_sent_panos
scene0077_00-shelf-2-7-4,never_sent_panos
scene0141_00-cup-2-60-61,never_sent_panos
scene0054_00-bag-4-11-72-76-88,never_sent_panos
scene0253_00-pillow-3-19-0-1,never_sent_panos
scene0054_00-bag-4-72-11-76-88,never_sent_panos
scene0085_00-curtain-2-17-4,never_sent_panos
scene0159_00-shoes-5-1-25-26-27-28,never_sent_panos
scene0020_00-book-4-32-16-33-34,never_sent_panos
scene0100_00-towel-3-27-10-29,never_sent_panos
scene0100_00-towel-3-29-10-27,never_sent_panos
scene0020_00-book-4-34-16-32-33,never_sent_panos
scene0024_00-chair-6-9-10-11-61-63-64,never_sent_panos
scene0471_00-toilet_paper-3-11-8-12,never_sent_panos
scene0394_00-clothing-4-48-50-51-52,never_sent_panos
scene0024_00-chair-6-11-9-10-61-63-64,never_sent_panos
scene0394_00-clothing-4-50-48-51-52,never_sent_panos
scene0025_00-box-2-27-29,never_sent_panos
scene0024_00-chair-6-61-9-10-11-63-64,never_sent_panos
scene0104_00-kitchen_cabinets-2-14-1,never_sent_panos
scene0090_00-bathroom_stall-2-4-9,never_sent_panos
scene0074_00-clothes-2-19-17,never_sent_panos
scene0054_00-bag-4-88-11-72-76,never_sent_panos
scene0394_00-clothing-4-51-48-50-52,never_sent_panos
scene0663_00-backpack-3-22-17-19,never_sent_panos
scene0054_00-bag-4-76-11-72-88,never_sent_panos
scene0663_00-backpack-3-19-17-22,never_sent_panos
scene0085_00-curtain-2-4-17,never_sent_panos
scene0074_00-clothing-2-26-20,never_sent_panos
scene0695_00-office_chair-2-9-8,never_sent_panos
scene0090_00-bathroom_stall-2-9-4,never_sent_panos
scene0253_00-pillow-3-1-0-19,never_sent_panos
scene0074_00-clothes-2-17-19,never_sent_panos
scene0663_00-backpack-3-17-19-22,never_sent_panos
scene0159_00-shoes-5-27-1-25-26-28,never_sent_panos
scene0141_00-cup-2-61-60,never_sent_panos
scene0217_00-desk-4-35-4-5-36,never_sent_panos
scene0217_00-desk-4-5-4-35-36,never_sent_panos
scene0104_00-kitchen_cabinets-2-1-14,never_sent_panos
scene0217_00-desk-4-36-4-5-35,never_sent_panos
scene0020_00-book-4-33-16-32-34,never_sent_panos
scene0144_00-clothes-2-27-29,never_sent_panos_and_ahmed
scene0144_00-clothes-2-29-27,never_sent_panos_and_ahmed
scene0218_00-couch-2-8-9,never_sent_panos_and_ahmed
scene0218_00-couch-2-9-8,never_sent_panos_and_ahmed
scene0222_00-clothes-2-39-40,never_sent_panos_and_ahmed
scene0222_00-clothes-2-40-39,never_sent_panos_and_ahmed
scene0231_00-book-5-12-27-34-35-36,never_sent_panos_and_ahmed
scene0231_00-book-5-27-12-34-35-36,never_sent_panos_and_ahmed
scene0231_00-book-5-34-12-27-35-36,never_sent_panos_and_ahmed
scene0231_00-book-5-35-12-27-34-36,never_sent_panos_and_ahmed
scene0231_00-book-5-36-12-27-34-35,never_sent_panos_and_ahmed
scene0286_00-door-4-28-7-8-29,never_sent_panos_and_ahmed
scene0286_00-door-4-29-7-8-28,never_sent_panos_and_ahmed
scene0286_00-door-4-7-8-28-29,never_sent_panos_and_ahmed
scene0296_00-bed-3-12-13-14,never_sent_panos_and_ahmed
scene0296_00-bed-3-13-12-14,never_sent_panos_and_ahmed
scene0296_00-bed-3-14-12-13,never_sent_panos_and_ahmed
scene0296_00-curtain-2-20-21,never_sent_panos_and_ahmed
scene0296_00-curtain-2-21-20,never_sent_panos_and_ahmed
scene0306_00-clothes-2-29-36,never_sent_panos_and_ahmed
scene0306_00-clothes-2-36-29,never_sent_panos_and_ahmed
scene0306_00-box-6-27-6-23-33-34-35,never_sent_panos_and_ahmed
scene0306_00-box-6-33-6-23-27-34-35,never_sent_panos_and_ahmed
scene0306_00-box-6-34-6-23-27-33-35,never_sent_panos_and_ahmed
scene0306_00-box-6-35-6-23-27-33-34,never_sent_panos_and_ahmed
scene0306_00-box-6-6-23-27-33-34-35,never_sent_panos_and_ahmed
scene0331_00-cup-3-14-15-16,never_sent_panos_and_ahmed
scene0331_00-cup-3-15-14-16,never_sent_panos_and_ahmed
scene0331_00-cup-3-16-14-15,never_sent_panos_and_ahmed
scene0335_00-towel-3-54-55-56,never_sent_panos_and_ahmed
scene0335_00-towel-3-55-54-56,never_sent_panos_and_ahmed
scene0336_00-desk-2-6-7,never_sent_panos_and_ahmed
scene0336_00-desk-2-7-6,never_sent_panos_and_ahmed
scene0350_00-bathroom_stall-3-13-14-15,never_sent_panos_and_ahmed
scene0350_00-bathroom_stall-3-15-13-14,never_sent_panos_and_ahmed
scene0384_00-bag-6-17-19-20-21-22-23,never_sent_panos_and_ahmed
scene0384_00-bag-6-19-17-20-21-22-23,never_sent_panos_and_ahmed
scene0384_00-bag-6-21-17-19-20-22-23,never_sent_panos_and_ahmed
scene0384_00-bag-6-22-17-19-20-21-23,never_sent_panos_and_ahmed
scene0384_00-bag-6-23-17-19-20-21-22,never_sent_panos_and_ahmed
scene0706_00-pillow-5-5-19-20-21-22,never_sent_ahmed
scene0591_00-shelf-3-10-9-29,never_sent_ahmed
scene0416_00-clothing-2-51-38,never_sent_ahmed
scene0648_00-pillow-5-45-37-46-47-48,never_sent_ahmed
scene0557_00-clothing-3-15-16-23,never_sent_ahmed
scene0435_00-curtain-2-51-5,never_sent_ahmed
scene0557_00-clothing-3-16-15-23,never_sent_ahmed
scene0394_00-towel-6-29-25-26-27-28-30,never_sent_ahmed
scene0662_00-towel-5-15-12-13-14-16,never_sent_ahmed
scene0626_00-computer_tower-5-20-15-19-21-22,never_sent_ahmed
scene0425_00-monitor-2-22-21,never_sent_ahmed
scene0435_00-curtain-2-5-51,never_sent_ahmed
scene0674_00-pillow-4-18-15-16-17,never_sent_ahmed
scene0688_00-clothing-5-7-27-29-30-32,never_sent_ahmed
scene0480_00-pillow-6-13-8-11-12-14-15,never_sent_ahmed
scene0477_00-clothing-2-22-33,never_sent_ahmed
scene0706_00-pillow-5-19-5-20-21-22,never_sent_ahmed
scene0480_00-pillow-6-15-8-11-12-13-14,never_sent_ahmed
scene0706_00-sign-2-16-17,never_sent_ahmed
scene0559_00-couch-2-14-3,never_sent_ahmed
scene0648_00-pillow-5-47-37-45-46-48,never_sent_ahmed
scene0642_00-pillow-6-34-10-11-31-32-33,never_sent_ahmed
scene0688_00-clothing-5-32-7-27-29-30,never_sent_ahmed
scene0656_00-book-5-34-22-23-29-33,never_sent_ahmed
scene0698_00-door-3-32-14-45,never_sent_ahmed
scene0677_00-curtain-2-28-0,never_sent_ahmed
scene0679_00-pillow-5-30-29-31-32-33,never_sent_ahmed
scene0688_00-pillow-5-20-16-17-18-19,never_sent_ahmed
scene0480_00-pillow-6-11-8-12-13-14-15,never_sent_ahmed
scene0394_00-clothes-4-56-53-54-55,never_sent_ahmed
scene0626_00-computer_tower-5-21-15-19-20-22,never_sent_ahmed
scene0677_00-pillow-3-29-30-31,never_sent_ahmed
scene0706_00-pillow-5-21-5-19-20-22,never_sent_ahmed
scene0576_00-clothing-4-38-35-36-37,never_sent_ahmed
scene0648_00-pillow-5-48-37-45-46-47,never_sent_ahmed
scene0541_00-curtain-2-5-32,never_sent_ahmed
scene0541_00-curtain-2-32-5,never_sent_ahmed
scene0674_00-ottoman-2-12-11,never_sent_ahmed
scene0674_00-pillow-4-16-15-17-18,never_sent_ahmed
scene0589_00-pillow-4-9-10-35-43,never_sent_ahmed
scene0591_00-shelf-3-9-10-29,never_sent_ahmed
scene0576_00-clothing-4-37-35-36-38,never_sent_ahmed
scene0612_00-toilet_paper-6-24-7-27-30-31-32,never_sent_ahmed
scene0626_00-computer_tower-5-15-19-20-21-22,never_sent_ahmed
scene0669_00-bookshelf-2-9-6,never_sent_ahmed
scene0394_00-towel-6-30-25-26-27-28-29,never_sent_ahmed
scene0642_00-pillow-6-31-10-11-32-33-34,never_sent_ahmed
scene0648_00-pillow-5-46-37-45-47-48,never_sent_ahmed
scene0517_00-dresser-2-19-22,never_sent_ahmed
scene0688_00-pillow-5-17-16-18-19-20,never_sent_ahmed
scene0590_00-towel-3-23-21-22,never_sent_ahmed
scene0656_00-book-5-29-22-23-33-34,never_sent_ahmed
scene0557_00-clothing-3-23-15-16,never_sent_ahmed
scene0394_00-towel-6-28-25-26-27-29-30,never_sent_ahmed
scene0399_00-bathroom_stall-2-15-14,never_sent_ahmed
scene0706_00-pillow-5-20-5-19-21-22,never_sent_ahmed
scene0590_00-bag-5-37-34-36-38-41,never_sent_ahmed
scene0656_00-book-5-23-22-29-33-34,never_sent_ahmed
scene0429_00-towel-3-22-16-17,never_sent_ahmed
scene0674_00-pillow-4-17-15-16-18,never_sent_ahmed
scene0612_00-toilet_paper-6-31-7-24-27-30-32,never_sent_ahmed
scene0662_00-towel-5-14-12-13-15-16,never_sent_ahmed
