syn_id,model_name,has_front
04256520,e877f5881c54551a2665f68ebc337f05,1
04256520,267dcf5952e84873fad6a32f56e259a2,1
04256520,918ae8afec3dc70af7628281ecb18112,1
04379243,3c899eb5c23784f9febad4f49b26ec52,0
02747177,5a947a76bf8f29035b17dbcbc75d58df,1
04379243,3eea280aa5da733e95166372d7ac113b,1
04004475,99df53ab6417e293b3b8d66c43b5b940,1
04379243,33b727a7c5e984bd377c09d18bd75e8a,1
02801938,acfe521c412fcd04564c0afd61663476,0
04379243,e0229fb0e8d85e1fbfd790572919a77f,0
02871439,bf8c485ab29e0c3549a1e995ce589127,0
03991062,86dc5ed985f2efd268ce23faf6fa0bec,0
02747177,75dbeb01fdc7f265d0a96520c31993ad,0
04554684,60f7d79d10e19134a3e7878f2bb5f0ca,0
04554684,ba5ea28f0065c71cdf3a1b0d597ce76e,1
02808440,38773e1ff9871cb33321831d2245cf06,1
02747177,14a49c2b9f46faa04d6ef9ab90177563,0
03001627,7729a6ad96985f4ed1ccbd5d84e5bc86,1
03211117,bbfac23f57b5fbd820e867fd9fb7164,1
02933112,6adbd040ec2f9fb53f07ca1042ba5dfc,1
04379243,15e651b8b7a0c880ac13edc49a7166b9,1
02933112,40470660e2b7a9ad6fa0ab61d9f9d96d,1
02818832,e91c2df09de0d4b1ed4d676215f46734,1
04256520,6aef3ffcf683005263cc440c7caf3d76,1
02933112,e3f3d58fe3cd9746a485daf2a997e28,1
04379243,f7896eb08596dcd6f9883d2fd957d60f,0
03001627,561d50862a2cb4aabc19762eaa7ba40f,1
02747177,85d8a1ad55fa646878725384d6baf445,0
03761084,49670b80947d34aca7f79a2a8b5d6e7f,1
04379243,32f116e50ba1dcde7ff6ace05b36a5,0
02933112,225905a8841620d7f6fe1e625c287cfa,1
03001627,6e46e4cce527abc114d449899f34bd9d,1
03001627,45214e3010f8c3ddafa9c337f30be0ab,1
02808440,f6f4dc302b85c7f96fe347138aa3101c,1
03001627,95d082c78ea0b1befe52ffd0e748a1ab,1
02808440,8e1de9c946615fbc6f893b5bc716a3fa,1
02871439,2f8f1d7cd9f61a07b1edbf57c29e5fb3,0
02808440,4a6ed9c61b029d15904e03fa15bd73ec,1
04379243,2c6c50203f519351bf5f47124ed0461e,1
04330267,601c1c3d98596cc34a60c1a189046dd1,1
03761084,698b37ec06448da7160ce9e819e30139,1
02933112,8994e11588b62bdfed208c42f7ada5c4,1
02933112,31a7cd3b7990834cde650492e45fb14f,1
02747177,c0951455fe667165599c7cf847d431a7,1
03207941,b93e45ceb3030c473321831d2245cf06,1
02871439,e3ae56f176b77359aa1bd50387389420,0
03761084,835ca5f3809182e86d1ffe1a45470ad7,1
02808440,67855525b642d59344221bef0fa3c36b,1
02808440,d970177e3a932dc344221bef0fa3c36b,1
02808440,99ee0eaaa7511e2344221bef0fa3c36b,1
02808440,f1910f9ad5c58ba7f5eed355a820c382,1
03001627,3211fc4f31b15964aee892adc836ce83,1
04379243,f469759b2790b6cf6c1a170c83f9532f,0
02933112,3d21c18153474a0acf004563556ddb36,0
03211117,4ee9c39b1f77a29a9d5e963395eec7e9,1
04379243,3d6b55fe2deb2aa3a1c746794f191dc8,1
04379243,6a9c7e9f19cd3583be92df29bb41e437,0
03001627,764866604b035caacd0362ae35d1beb4,1
04379243,c6c412c771ab0ae015a34fa27bdf3d03,0
04256520,fa1e1a91e66faf411de55fee5ac2c5c2,1
03642806,546b40d15cd483873339d8259ddfa7bb,1
04379243,76338ed3326689b249524cfd5973a145,0
04330267,7020994986d2bc01bc59ed4ab44a78f,1
04379243,15090e10ae2d06306e25f3efedf6785f,1
02808440,56e2c0a605db987e28baeef8b0265e92,1
02747177,5a2d3cfcbcd3779f44a292ef014253,0
02871439,dc9af91c3831983597e6cb8e9bd5d9e5,1
03001627,8ab6783b1dfbf3a8a5d9ad16964840ab,1
04256520,26d36969b0ef62b1c2c449c0c0579ec3,1
03642806,34913d1dcde913848bd55eee82fc09d6,1
04256520,58447a958c4af154942bb07caacf4df3,1
03001627,6f36520144753550f91663a74ccd2338,1
03001627,49434684366778973002761e7a3ba3bd,1
03337140,bfcdaac4627b7c13a7a7a90dc2dc5bd,1
04379243,63aa4cdf9276e6bc19cdd91652400369,1
03211117,182a5ccd3c0c9887c21c5d9d91c5c9b5,1
02773838,54cd45b275f551b276bb31db0358e9c6,1
02871439,89f1540881171ee3f4c4977ed0ba5296,1
02747177,c21d8f5641be31a285cac25b72167160,1
02933112,4c4043756b3aac2ba80ff03f6dc10926,1
04379243,eabe7e2ee9547616214a15a5a42c49c0,1
04379243,75bb849ce0a252e72c1a544eca74c954,1
03001627,b58b8a4646d14b7c202339ec5396045d,1
04379243,11a559d19457ea3950cf3715818ccfe8,1
03001627,9dfaa9b599fced446f1e07a56c129dfc,1
03001627,791c488a167bd73f91663a74ccd2338,1
02818832,5ba5c9836e19ac7640b4c5428883e585,1
02933112,875437f9f2bfdc3feadc9f074ecd1df1,1
02818832,a224f207c639eeaf8d704b7b9cbe87,1
02933112,c73ebca7db882f3ef26c21d3bbafae87,1
03001627,235c8ef29ef5fc5bafd49046c1129780,1
04379243,a5cbc0a86cdd01bd348f8ec207893cce,1
02871439,4a9731874f7472e2a3017456b64dcf36,1
02747177,a513393efc093c7cb00bfc975577e7b5,0
04004475,6bbb7abe06ab037784d5f12fa5114b4e,1
02747177,6a79fcbbe8eb1ec0162da3dc7be329d5,1
04379243,70f408c759664b953f99a25d2bc1902,1
02818832,64c2347dfd79c63a63d977b06bbd429d,1
03337140,e58274d0771d56f77984fb9ec7e40829,1
02933112,3775c10b5502d12a1190e285a2cbc9c,1
02747177,93d5f21e94ac5fb68a606c63493ddb7c,0
03001627,813f84c21a081253c02e349cb722a77a,1
02871439,e4c42bcbba4ef5b09a2d4f7bacd6e0d8,1
04379243,798598965a343fc9b0957d845ac33749,0
04379243,938ea1c89e7a62a9d6d49cce41472b6e,0
03001627,6ecec258a1b6fe2a6fee8e2140acec9,1
03001627,56e194146b9e584b3321831d2245cf06,1
02808440,6be7c8fafd1268776b448b8aaebb705c,1
04379243,a3064f61346b7891ea0464486db6b687,1
03211117,882619bc31c4e4c88091986dc5b9a01e,1
03001627,6697a325ee92e17695e321e9c6480,1
02871439,de4168fe61b0968a7351a916a214ce9f,1
03001627,d6da5457b0682e24696b74614952b2d0,1
03001627,7b8e24c31b7509b6dec3f6fd3a03085e,1
04379243,de5de9cd2d952cc5278f90ef85162deb,0
04256520,e78b5c9191f3007cd36a803949e62cea,1
04379243,2362ec480b3e9baa4fd5721982c508ad,1
04256520,aa5fe2c92f01ce0a30cbbda41991e4d0,1
04256520,1512e3c41de7a461e10a48f2bbb9bef4,1
02828884,4cd23aae912b7de019fb4103277a6b93,0
04379243,fb4cfc22ce88e69625d15f7f2ce4065f,0
04554684,3a289ed95f5902fb46cde67a6a1ea328,1
02808440,63c4c61e156c25d23321831d2245cf06,1
04554684,4713da50446a7595df3a1b0d597ce76e,1
02933112,4068c751d46ca222de650492e45fb14f,1
03001627,4438e29f9d3cf45bfe52ffd0e748a1ab,1
